keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
ELIXIR_EGG,Elixir Egg,Ovo de Elixir,Uovo d'Elisir,药剂蛋,엘릭서 계란,エリクサーの卵,Huevo de Elixir,Elixier-Ei,Œuf élixir,Eliksir Jajko,İksir Yumurtası
ELIXIR,Elixir,Elixir,Elisir,药剂,엘릭서,エリクサー,Elixir,Elixier,Élixir,Eliksir,İksir
MILK,Milk,Leite,Latte,牛奶,우유,牛乳,Leche,Milch,Lait,Mleko,Süt
CRUSHED_SUNFLOWER_SEEDS,Crushed Sunflower Seeds,Sementes de Girassol Moídas,Semi di Girasole Tritati,压碎的向日葵种子,분쇄된 해바라기 씨앗,ひまわりの種を粉砕,Semillas de Girasol Trituradas,Zerkleinerte Sonnenblumenkerne,Graines de tournesol écrasées,Zmielone Nasiona Słonecznika,Ezilmiş Ayçiçeği Tohumu
SOY_MILK,Soy Milk,Leite de Soja,Latte di Soia,豆奶,두유,豆乳,Leche de Soja,Sojamilch,Lait de soja,Mleko Sojowe,Soya Sütü
SUNFLOWER_PASTE,Sunflower Paste,Pasta de Girassol,Pasta di Girasole,向日葵酱,해바라기 페이스트,ひまわりペースト,Pasta de Girasol,Sonnenblumenpaste,Pâte de tournesol,Pasta Słonecznikowa,Ayçiçeği Püresi
CRUSHED_PEANUTS,Crushed Peanuts,Amendoins Triturados,Arachidi Tritate,压碎的花生,분쇄된 땅콩,ピーナッツを粉砕,Maní Triturado,Zerkleinerte Erdnüsse,Cacahuètes écrasées,Zmielone Orzeszki,Ezilmiş Fıstık
ROASTED_COCOA_BEANS,Roasted Cocoa Beans,Sementes de Cacau Torradas,Fave di Cacao Tostate,烤过的可可豆,구운 코코아 콩,焙煎されたカカオ豆,Cacao Tostado,Geröstete Kakaobohnen,Fèves de cacao torréfiées,Prażone Ziarna Kakao,Kavrulmuş Kakao Fasulyesi
CRUSHED_COCOA_BEANS,Crushed Cocoa Beans,Sementes de Cacau Moídas,Fave di Cacao Tritate,压碎的可可豆,분쇄된 코코아 콩,カカオ豆を粉砕,Cacao Triturado,Zerkleinerte Kakaobohnen,Fèves de cacao écrasées,Zmielone Ziarna Kakao,Ezilmiş Kakao Fasulyesi
COCOA_NIBS,Cocoa Nibs,Polpa de Cacau,Granella di Cacao,可可碎片,코코아 닙스,カカオの破片,Trozos de Cacao,Kakaobruchstücke,Graines de cacao,Kawałki Kakao,Kakao Taneleri
COCOA_LIQUOR,Cocoa Liquor,Cacau Líquido,Liquore di Cacao,可可酒,코코아 주정,カカオリキュール,Licor de Cacao,Kakaolikör,Liqueur de cacao,Liquor Kakao,Kakao Likörü
GRATED_CARROT,Grated Carrot,Cenoura Ralada,Carote Grattugiate,刨碎的胡萝卜,채썰린 당근,人参をすりおろす,Zanahoria Rallada,Geriebene Karotte,Carotte râpée,Starta Marchewka,Rendelenmiş Havuç
CHOCOLATE_MIXTURE,Chocolate Mixture,Mistura de Chocolate,Miscela di Cioccolato,巧克力混合物,초콜릿 혼합물,チョコレートの混合物,Mezcla de Chocolate,Schokoladenmischung,Mélange chocolaté,Mieszanka Czekoladowa,Çikolata Karışımı
SCALDED_MILK,Scalded Milk,Leite Escaldado,Latte Scottato,烫过的牛奶,저온 삶은 우유,湯通しした牛乳,Leche Escaldada,Geschmolzene Milch,Lait échaudé,Podgrzane Mleko,Kaynamış Süt
LIQUID_BUTTER,Liquid Butter,Manteiga Líquida,Burro Liquido,液态黄油,액체 버터,液体のバター,Mantequilla Líquida,Flüssige Butter,Beurre liquide,Płynne Masło,Sıvı Yağ
SUGARCANE_JUICE,Sugarcane Juice,Caldo de Cana,Succo di Canna da Zucchero,甘蔗汁,사탕수수 주스,サトウキビジュース,Jugo de Caña,Zuckerrohrsaft,Jus de canne à sucre,Sok z Trzciny Cukrowej,Şeker Kamışı Suyu
PURIFIED_SUGARCANE_JUICE,Purified Sugarcane Juice,Caldo de cana Purificado,Succo di Canna da Zucchero Purificato,纯净的甘蔗汁,정제된 사탕수수 주스,精製されたサトウキビジュース,Jugo de Caña Purificado,Gereinigter Zuckerrohrsaft,Jus de canne à sucre purifié,Oczyszczony Sok z Trzciny Cukrowej,Saf Şeker Kamışı Suyu
RAW_SUGAR,Raw Sugar,Açúcar Bruto,Zucchero Grezzo,生糖,천연 설탕,未精製の砂糖,Azúcar Crudo,Rohzucker,Sucre brut,Surowy Cukier,Ham Şeker
FLOUR,Flour,Farinha,Farina,面粉,밀가루,小麦粉,Harina,Mehl,Farine,Mąka,Un
PASTEURIZED_MILK,Pasteurized Milk,Leite Pasteurizado,Latte Pastorizzato,巴氏消毒的牛奶,살균된 우유,殺菌処理された牛乳,Leche Pasteurizada,Pasteurisierte Milch,Lait pasteurisé,Pasteryzowane Mleko,Pastörize Edilmiş Süt
OLIVE_PASTE,Olive Paste,Pasta de Azeitona,Pasta di Olive,橄榄酱,올리브 페이스트,オリーブペースト,Pasta de Aceituna,Olivenpaste,Pâte d'olive,Pasta Oliwkowa,Zeytin Püresi
CARROT_JUICE,Carrot Juice,Suco de Cenoura,Succo di Carota,胡萝卜汁,당근 주스,人参ジュース,Jugo de Zanahoria,Karottensaft,Jus de carotte,Sok z Marchewki,Havuç Suyu
APPLE_JUICE,Apple Juice,Suco de Maçã,Succo di Mela,苹果汁,사과 주스,リンゴジュース,Jugo de Manzana,Apfelsaft,Jus de pomme,Sok Jabłkowy,Elma Suyu
FERMENTED_APPLE_JUICE,Fermented Apple Juice,Suco de Maçã Fermentado,Succo di Mela Fermentato,发酵的苹果汁,발효된 사과 주스,発酵リンゴジュース,Jugo de Manzana Fermentado,Fermentierter Apfelsaft,Jus de pomme fermenté,Fermentowany Sok Jabłkowy,Fermente Elma Suyu
BREAD,Bread,Pão,Pane,面包,빵,パン,Pan,Brot,Pain,Chleb,Ekmek
DOUGH,Dough,Massa,Impasto,面团,도우,生地,Masa,Teig,Pâte,Ciasto,Hamur
TOFU_CURD,Tofu Curd,Coalho de Tofu,Cagliata di Tofu,豆腐凝乳,두부 카드,豆腐の凝固物,Cuajada de Tofu,Tofu-Bruch,Tofu caillé,Serwatka Tofu,Tofu Loru
TOFU,Tofu,Tofu,Tofu,豆腐,두부,豆腐,Tofu,Tofu,Tofu,Tofu,Tofu
VEGETABLE_OIL,Vegetable Oil,Óleo Vegetal,Olio Vegetale,植物油,채소 기름,植物油,Aceite Vegetal,Pflanzenöl,Huile végétale,Olej Roślinny,Sebze Yağı
PEANUT_BUTTER,Peanut Butter,Manteiga de Amendoim,Burro d'Arachidi,花生酱,땅콩 버터,ピーナッツバター,Crema de Cacahuate,Erdnussbutter,Beurre de cacahuète,Masło Orzechowe,Fıstık Ezmesi
OLIVE_OIL,Olive Oil,Azeite,Olio d'Oliva,橄榄油,올리브 오일,オリーブオイル,Aceite de Oliva,Olivenöl,Huile d'olive,Oliwa,Zeytinyağı
REFINED_SUGAR,Refined Sugar,Açúcar Refinado,Zucchero Raffinato,精炼糖,정제된 설탕,精製砂糖,Azúcar Refinada,Raffinierter Zucker,Sucre raffiné,Rafinowany Cukier,Rafine Şeker
CHOCOLATE_BAR,Chocolate Bar,Barra de Chocolate,Barretta di Cioccolato,巧克力棒,초콜릿 바,チョコレートバー,Barra de Chocolate,Schokoladenriegel,Barre de chocolat,Tabliczka Czekolady,Çikolata Barı
BUTTER,Butter,Manteiga,Burro,黄油,버터,バター,Mantequilla,Butter,Beurre,Masło,Tereyağı
APPLE_CIDER,Apple Cider,Sidra de Maçã,Sidro di Mela,苹果酒,사과 사이다,リンゴのサイダー,Sidra de Manzana,Apfelwein,Cidre de pomme,Cydr Jabłkowy,Elma Şırası
YOGURT,Yogurt,Iogurte,Yogurt,酸奶,요구르트,ヨーグルト,Yogur,Joghurt,Yaourt,Jogurt,Yoğurt
CARROT_YOGURT,Carrot Yogurt,Iogurte de Cenoura,Yogurt di Carota,胡萝卜酸奶,당근 요구르트,人参ヨーグルト,Yogur de Zanahoria,Karottenjoghurt,Yaourt à la carotte,Jogurt Marchewkowy,Havuçlu Yoğurt
ARTISAN_BREAD,Artisan Bread,Pão Artesanal,Pane Artigianale,手工面包,장인의 빵,職人のパン,Pan Artesanal,Handwerksbrot,Pain artisanal,Chleb Rzemieślniczy,El Sanatları Ekmeği
CARROT_CAKE,Carrot Cake,Bolo de Cenoura,Torta di Carote,胡萝卜蛋糕,당근 케이크,キャロットケーキ,Pastel de Zanahoria,Karottenkuchen,Gâteau à la carotte,Tort Marchewkowy,Havuçlu Pasta
CHOCOLATE_CARROT_CAKE,Chocolate Carrot Cake,Bolo de Chocolate com Cenoura,Torta di Carote al Cioccolato,巧克力胡萝卜蛋糕,초콜릿 당근 케이크,チョコレートキャロットケーキ,Pastel de Chocolate con Zanahoria,Schokoladenkarottenkuchen,Gâteau au chocolat et à la carotte,Czekoladowy Tort Marchewkowy,Çikolatalı Havuçlu Pasta
POPCORN,Popcorn,Pipoca,Popcorn,爆米花,팝콘,ポップコーン,Palomitas,Popcorn,Pop-corn,Popcorn,Patlamış Mısır
WINE,Wine,Vinho,Vino,葡萄酒,와인,ワイン,Vino,Wein,Vin,Wino,Şarap
GRAPES,Grapes,Uvas,Uva,葡萄,포도,ぶどう,Uvas,Trauben,Raisins,Winogrona,Üzüm
GRAPES_JUICE,Grape Juice,Suco de Uva,Succo d'Uva,葡萄汁,포도 주스,ぶどうジュース,Jugo de Uva,Traubensaft,Jus de raisin,Sok Winogronowy,Üzüm Suyu
LUCKY_HATCH,Lucky Hatch,Botada da Sorte,Sorte nell'Incubazione,幸运孵化,운이 좋은 부화,ラッキーハッチ,Suerte al Eclosionar,Glücklicher Schlupf,Éclosion chanceuse,Szczęśliwe Wylęganie,Şanslı Kuluçka
LUCKY_HATCH_DESCRIPTION,50% chance to get a random effect card for {ITEM_EGG} produced. Limit of 10 cards per turn,25% de chance de obter uma carta de efeito aleatória para cada {ITEM_EGG} produzido. Limite de 5 cartas por turno,50% di possibilità di ottenere una carta effetto casuale per ogni {ITEM_EGG} prodotto. Limite di 10 carte per turno,50%几率获得一个随机效果卡牌，用于生产{ITEM_EGG}。每回合最多获得10张卡牌。,생산된 {ITEM_EGG}마다 무작위 효과 카드를 얻을 확률 50%. 턴당 카드 제한 10장,{ITEM_EGG}が生産されるごとにランダムな効果カードを得る確率が50%。ターンごとのカード上限は10枚,50% de probabilidad de obtener una carta de efecto aleatorio por cada {ITEM_EGG} producido. Límite de 10 cartas por turno,"50% Chance, eine zufällige Effektkarte für {ITEM_EGG} zu erhalten. Limit von 10 Karten pro Zug",50% de chance d'obtenir une carte d'effet aléatoire pour chaque {ITEM_EGG} produit. Limite de 10 cartes par tour,50% szansy na otrzymanie losowej karty efektu dla produkowanego {ITEM_EGG}. Limit 10 kart na turę,Üretilen {ITEM_EGG} için rastgele bir etki kartı elde etme şansı %50. Tur başına 10 kart sınırı
GOLDEN_CHANCE,Golden Chance,Oportunidade Dourada,Opportunità d'Oro,黄金机会,금의 기회,ゴールデンチャンス,Oportunidad Dorada,Goldene Chance,Chance dorée,Złota Szansa,Altın Şans
GOLDEN_CHANCE_DESCRIPTION,Every {ITEM_EGG} produced has 10% chance to turn into a {ITEM_GOLDEN_EGG},Cada {ITEM_EGG} produzido tem 10% de chance de se transformar em um {ITEM_GOLDEN_EGG},Ogni {ITEM_EGG} prodotto ha il 10% di possibilità di diventare un {ITEM_GOLDEN_EGG},每个生产的{ITEM_EGG}有10%的几率变成{ITEM_GOLDEN_EGG}。,생산된 {ITEM_EGG}이 10% 확률로 {ITEM_GOLDEN_EGG}로 변환,生産される{ITEM_EGG}が10%の確率で{ITEM_GOLDEN_EGG}に変わる,Cada {ITEM_EGG} producido tiene un 10% de probabilidad de convertirse en {ITEM_GOLDEN_EGG},"Jedes {ITEM_EGG}, das produziert wird, hat eine 10% Chance, sich in ein {ITEM_GOLDEN_EGG} zu verwandeln",Chaque {ITEM_EGG} produit a 10% de chance de devenir un {ITEM_GOLDEN_EGG},Każde produkowane {ITEM_EGG} ma 10% szansy na przemianę w {ITEM_GOLDEN_EGG},Üretilen her {ITEM_EGG} %10 şansla {ITEM_GOLDEN_EGG} olur
MISTICAL_HARVEST,Mistical Harvest,Colheita Mística,Raccolto Mistico,神秘的丰收,신비한 수확,ミスティカルハーベスト,Cosecha Mística,Mystische Ernte,Récolte mystique,Magiczny Zbiór,Mistik Hasat
MISTICAL_HARVEST_DESCRIPTION,+1 {PRODUCTION} to every {PLANT} for every effect card played in the turn,+1 de {PRODUCTION} para cada {PLANT} para cada carta de efeito jogada no turno,+1 {PRODUCTION} per ogni {PLANT} per ogni carta effetto giocata nel turno,每次回合中播放的效果卡牌数量增加{PLANT}的+1 {PRODUCTION}。,턴당 플레이된 효과 카드마다 모든 {PLANT}에 +1 {PRODUCTION},ターンでプレイされるエフェクトカードごとにすべての{PLANT}の+1{PRODUCTION},+1 {PRODUCTION} a cada {PLANT} por cada carta de efecto jugada en el turno,"+1 {PRODUCTION} für jede {PLANT} für jede Effektkarte, die im Zug gespielt wurde",+1 {PRODUCTION} à chaque {PLANT} pour chaque carte d'effet jouée dans le tour,+1 {PRODUCTION} dla każdej {PLANT} za każdą zagrana kartę efektu w turze,O turda oynanan her etki kartı için tüm {PLANT}'a +1 {PRODUCTION} eklenir
TROPICAL_SOIL,Tropical Soil,Solo Tropical,Terreno Tropicale,热带土壤,열대의 토양,トロピカルソイル,Suelo Tropical,Tropischer Boden,Sol tropical,Tropikalna Gleba,Tropikal Toprak
TROPICAL_SOIL_DESCRIPTION,The value of items made by {PLANTS} is increased by double of its {WATER} cost,O valor dos itens feitos por {PLANTS} é aumentado pelo dobro do seu custo de {WATER},Il valore degli oggetti realizzati da {PLANTS} viene aumentato del doppio del suo costo di {WATER},由{PLANTS}制造的物品价值增加其{WATER}成本的两倍,{PLANTS}로 만든 아이템의 가치는 {WATER} 비용의 두 배로 증가합니다,{PLANTS}によって作られたアイテムの価値はその{WATER}コストの2倍に増加します,El valor de los objetos fabricados por {PLANTS} se incrementa al doble de su costo de {WATER},Der Wert der von {PLANTS} hergestellten Gegenstände wird um das Doppelte seiner {WATER}-Kosten erhöht,La valeur des objets fabriqués par {PLANTS} est augmentée du double de son coût en {WATER},Wartość przedmiotów wykonanych przez {PLANTS} wzrasta o dwukrotność kosztu {WATER},"{PLANTS} tarafından yapılan eşyaların değeri, {WATER} maliyetinin iki katına çıkar"
COMBO_REWARD,Combo Reward,ecompensa por Combos,Premio Combinato,组合奖励,콤보 보상,コンボリワード,Recompensa Combo,Kombo-Belohnung,Récompense Combo,Nagroda Kombinacyjna,Kombo Ödülü
COMBO_REWARD_DESCRIPTION,Every time a 3+ step combo happens you get 1 random effect card. Limit of 10 cards per turn,"A cada combo de 3+ etapas, ganhe 1 carta de efeito aleatória. Limite de 5 cartas por turno",Ogni volta che si verifica una combinazione di 3+ passaggi si ottiene 1 carta effetto casuale. Limite di 10 carte per turno,每次发生3步或更多的连击时，您将获得1张随机效果卡牌。每回合最多获得10张卡牌。,3단계 이상의 콤보가 발생할 때마다 무작위 효과 카드 1개 획득. 턴당 카드 제한 10장,3ステップ以上のコンボが発生するたびに、1枚のランダム効果カードが手に入ります。ターンごとのカードの上限は10枚,"Cada vez que suceda una combinación de 3+ pasos, obtienes 1 carta de efecto aleatorio. Límite de 10 cartas por turno","Jedes Mal, wenn eine Kombination mit 3+ Schritten passiert, erhältst du 1 zufällige Effektkarte. Limit von 10 Karten pro Zug","Chaque fois qu'un combo de 3 étapes ou plus se produit, vous obtenez 1 carte d'effet aléatoire. Limite de 10 cartes par tour",Za każdy 3+ krokowy combo otrzymujesz 1 losową kartę efektu. Limit 10 kart na turę,3+ adımlı bir kombinasyon her gerçekleştiğinde 1 rastgele etki kartı alınır. Tur başına 10 kart sınırı
WHEAT_EXPANSION,Wheat Expansion,Expansão do Trigo,Espansione di Grano,小麦扩张,밀 확장,小麦の拡大,Expansión de Trigo,Weizen-Erweiterung,Expansion de blé,Ekspansja Pszenicy,Buğday Genişlemesi
WHEAT_EXPANSION_DESCRIPTION,{GROUP_WHEATS} create another {GROUP_WHEATS} at one random empty space of their island,{GROUP_WHEATS} cria mais um {GROUP_WHEATS} em um espaço vazio aleatório de seu terreno,{GROUP_WHEATS} crea un altro {GROUP_WHEATS} in uno spazio vuoto casuale della loro isola,{GROUP_WHEATS}在它们的岛上的一个随机空位上创建另一个{GROUP_WHEATS}。,{GROUP_WHEATS}은 그들의 섬의 빈 공간 중 하나에서 다른 {GROUP_WHEATS}를 생성,{GROUP_WHEATS}は、その島のランダムな空きスペースに別の{GROUP_WHEATS}を生成します,{GROUP_WHEATS} crea otro {GROUP_WHEATS} en un espacio vacío aleatorio de su isla,{GROUP_WHEATS} erzeugt eine weitere {GROUP_WHEATS} an einer zufälligen leeren Stelle ihrer Insel,Chaque {GROUP_WHEATS} crée un autre {GROUP_WHEATS} dans un espace vide aléatoire de leur île,{GROUP_WHEATS} tworzy inną {GROUP_WHEATS} na jednym losowym pustym miejscu ich wyspy,{GROUP_WHEATS} kendi adalarında rastgele bir boş alana başka bir {GROUP_WHEATS} oluşturur
COW_DELUGE,Cow Deluge,Bonança Bovina,Diluvio di Mucche,牛洪水,소의 대홍수,牛の大雨,Diluvio de Vacas,Kuh-Flut,Déluge de vaches,Krowi Deluge,İnek Yağmuru
COW_DELUGE_DESCRIPTION,+20 {PRODUCTION} to {GROUP_COWS} but +40 {WATER} cost,"+20 de {PRODUCTION} para {GROUP_COWS}, mas +40 de custo de {WATER} para {GROUP_COWS}",+20 {PRODUCTION} per {GROUP_COWS} ma +40 costo di {WATER},{GROUP_COWS}的{PRODUCTION}增加20，但{WATER}消耗增加40。,"{GROUP_COWS}에게 +20 {PRODUCTION}, 하지만 {WATER} 비용 +40",{GROUP_COWS}に+20 {PRODUCTION} ですが、+40 {WATER} のコストがかかります,+20 {PRODUCTION} para {GROUP_COWS} pero +40 costo de {WATER},"+20 {PRODUCTION} für {GROUP_COWS}, aber +40 {WATER}-Kosten",+20 {PRODUCTION} pour les {GROUP_COWS} mais +40 de coût en {WATER},+20 {PRODUCTION} dla {GROUP_COWS} ale +40 koszt {WATER},{GROUP_COWS} için +20 {PRODUCTION} ama +40 {WATER} maliyeti
GLUTTONOUS_FEAST,Gluttonous Feast,Banquete Voraz,Festa Gluttone,贪吃的盛宴,탐욕스러운 향연,大食いの宴,Festín Glotón,Völliges Festmahl,Festin glouton,Obżarciuch,Obur Ziyafet
GLUTTONOUS_FEAST_DESCRIPTION,Every {ANIMAL} produces two times per turn,Cada {ANIMAL} produz duas vezes por turno,Ogni {ANIMAL} produce due volte per turno,每个{ANIMAL}每回合产生两倍的物品。,모든 {ANIMAL}은 턴당 두 번 생산,すべての{ANIMAL}がターンごとに2回生産します,Cada {ANIMAL} produce dos veces por turno,Jedes {TIER} produziert zweimal pro Zug,Chaque {ANIMAL} produit deux fois par tour,Każde {ANIMAL} produkuje dwa razy na turę,Her {ANIMAL} iki kez üretim yapar
PASTE_BLOOM,Paste Bloom,Floração de Pastas,Fioritura di Pasta,糊状花朵,페이스트 블룸,ペーストの花,Explosión de Pasta,Paste-Blüte,Éclat de pâte,Kwitnąca Pasta,Pasta Çiçeği
PASTE_BLOOM_DESCRIPTION,Every {PLANT_SUNFLOWER} produces {ITEM_SUNFLOWER_PASTE},Cada {PLANT_SUNFLOWER} produz {ITEM_SUNFLOWER_PASTE},Ogni {PLANT_SUNFLOWER} produce {ITEM_SUNFLOWER_PASTE},每个{PLANT_SUNFLOWER}产生{ITEM_SUNFLOWER_PASTE}。,모든 {PLANT_SUNFLOWER}는 {ITEM_SUNFLOWER_PASTE} 생산,すべての{PLANT_SUNFLOWER}が{ITEM_SUNFLOWER_PASTE}を生産します,Cada {PLANT_SUNFLOWER} produce {ITEM_SUNFLOWER_PASTE},Jede {PLANT_SUNFLOWER} produziert {ITEM_SUNFLOWER_PASTE},Chaque {PLANT_SUNFLOWER} produit {ITEM_SUNFLOWER_PASTE},Każda {PLANT_SUNFLOWER} produkuje {ITEM_SUNFLOWER_PASTE},Her {PLANT_SUNFLOWER} {ITEM_SUNFLOWER_PASTE} üretir
ENERGY_SPRING,Energy Spring,Fonte Energética,Sorgente Energetica,能量之泉,에너지의 봄,エネルギーの泉,Manantial Energético,Energiequelle,Source d'énergie,Wiosna Energii,Enerji Kaynağı
ENERGY_SPRING_DESCRIPTION,"Everything that produces {WATER} now produces {ENERGY}, 6x{PRODUCTION} and 3x{ENERGY} cost to all {PLANTS} that use {ENERGY}","Tudo que produzia {WATER} agora produz {ENERGY}, 6x de {PRODUCTION} e 3x de custo de {ENERGY} para {PLANTS} que usam {ENERGY}","Tutto ciò che produce {WATER} ora produce {ENERGY}, 6x{PRODUCTION} e 3x{ENERGY} costo per tutte le {PLANTS} che usano {ENERGY}",现在产生{WATER}的所有事物都产生{ENERGY}，{PLANTS}使用{ENERGY}的消耗为6倍{PRODUCTION}，{PLANTS}的消耗为3倍{ENERGY}。,"{WATER}를 생산하는 모든 것은 이제 {ENERGY}를 생산하며, {ENERGY}를 사용하는 모든 {PLANTS}에 6x{PRODUCTION} 및 3x{ENERGY} 비용",{WATER}を生産するものすべてが{ENERGY}を生産するようになり、{ENERGY}を使用するすべての{PLANTS}に6x{PRODUCTION}と3x{ENERGY}のコストがかかります,"Todo lo que produce {WATER} ahora produce {ENERGY}, 6x{PRODUCTION} y 3x{ENERGY} de costo para todas {PLANTS} que usan {ENERGY}","Alles, was {WATER} produziert, produziert jetzt {ENERGY}, 6x {PRODUCTION} und 3x {ENERGY}-Kosten für alle {PLANTS}, die {ENERGY} verwenden","Tout ce qui produit {WATER} produit maintenant {ENERGY}, 6x{PRODUCTION} et 3x{ENERGY} de coût pour toutes les {PLANTS} qui utilisent {ENERGY}","Wszystko, co produkuje {WATER}, teraz produkuje {ENERGY}, 6x{PRODUCTION} i 3x{ENERGY} koszt dla wszystkich {PLANTS} używających {ENERGY}","{WATER} üreten her şey şimdi {ENERGY} üretir, {ENERGY} kullanan tüm {PLANTS} için 6x {PRODUCTION} ve 3x {ENERGY} maliyeti"
VEGANISM,Veganism,Veganismo,Veganismo,素食主义,비건주의,ヴィーガニズム,Veganismo,Veganismus,Véganisme,Wegetarianizm,Veganlık
VEGANISM_DESCRIPTION,If there is no {ANIMAL} in the farm 4x {PRODUCTION} to all {PLANTS},"Se não houver nenhum {ANIMAL} na fazenda, produza 4x mais em todas as {PLANTS}","Se non ci sono {ANIMAL} nella fattoria, 4x {PRODUCTION} per tutte le {PLANTS}",如果农场中没有{ANIMAL}，则所有{PLANTS}的{PRODUCTION}增加4倍。,농장에 {ANIMAL}이 없다면 모든 {PLANTS}에 4x {PRODUCTION},農場に{ANIMAL}がいない場合、すべての{PLANTS}に4x {PRODUCTION} が付与されます,"Si no hay {ANIMAL} en la granja, 4x {PRODUCTION} para todas {PLANTS}","Wenn keine {ANIMAL} auf dem Bauernhof sind, 4x {PRODUCTION} für alle {PLANTS}",S'il n'y a pas d'{ANIMAL} dans la ferme 4x {PRODUCTION} pour toutes les {PLANTS},"Jeśli na farmie nie ma {ANIMAL}, 4x {PRODUCTION} dla wszystkich {PLANTS}",Çiftlikte hiç {ANIMAL} yoksa tüm {PLANTS} için 4x {PRODUCTION}
PEANUT_FEST,Peanut Fest,Festa do Amendoim,Festa delle Arachidi,花生节,피넛 페스트,ピーナッツ祭,Fiesta de Maní,Erdnussfest,Fête des cacahuètes,Festiwal Orzeszków,Fıstık Festivali
PEANUT_FEST_DESCRIPTION,+10 {PRODUCTION} for everything that produces {ITEM_PEANUT},+10 {PRODUCTION} para tudo que produzir {ITEM_PEANUT},+10 {PRODUCTION} per tutto ciò che produce {ITEM_PEANUT},所有产生{ITEM_PEANUT}的事物的{PRODUCTION}增加10。,{ITEM_PEANUT}를 생성하는 모든 것에 대해 +10 {PRODUCTION},{ITEM_PEANUT}を生産するすべてに+10 {PRODUCTION} が付与されます,+5 {PRODUCTION} para todo lo que produce {ITEM_PEANUT},"+10 {PRODUCTION} für alles, was {ITEM_PEANUT} produziert",+10 {PRODUCTION} pour tout ce qui produit des {ITEM_PEANUT},"+10 {PRODUCTION} dla wszystkiego, co produkuje {ITEM_PEANUT}",{ITEM_PEANUT} üreten her şey için +10 {PRODUCTION}
DEALERS_HAND,Dealers Hand,Mão Leve,Mano del Commerciante,发牌手,딜러스 핸드,ディーラーの手,Mano del Comerciante,Kartenhand des Dealers,Main du croupier,Ręka Dilera,Tüccarın Eli
DEALERS_HAND_DESCRIPTION,+2 hand size but every card is +50% more expensive,"+2 no tamanho da mão, mas cada carta custa 50% a mais",+2 dimensione della mano ma ogni carta costa il 50% in più,手牌上限增加2，但每张卡牌的成本增加50%。,손 크기 +2지만 모든 카드가 가격이 50% 더 비싸집니다,手札のサイズが+2 になりますが、すべてのカードが50%高くなります,+2 tamaño de mano pero cada carta es 50% más cara,"+2 Kartenhandgröße, aber jede Karte ist um 50% teurer",+2 à la taille max de la main mais chaque carte coûte +50% de plus,"+2 do wielkości ręki, ale każda karta jest o 50% droższa",+2 el boyutu ama her kart %50 daha pahalı
FLUSH,Flush,Flush,Colpo di Fortuna,一批,플러쉬,フラッシュ,Poker,Spülen,Flush,Kolor,Flush
FLUSH_DESCRIPTION,Every turn get 4 equal cards with their {GOLD} cost increasing by 1 for each card drawed this turn. You only get 4 cards per turn,"A cada turno, receba 4 cartas iguais, com o custo aumentando em 1 para cada carta tirada neste turno. Você ganha apenas 4 cartas por turno",Ogni turno si ottengono 4 carte uguali con il loro costo in {GOLD} che aumenta di 1 per ogni carta pescata in quel turno. Ricevi solo 4 carte per turno,每回合获得4张相同卡牌，其{GOLD}成本每次抽卡牌都会增加1。每回合只能获得4张卡牌。,"매 턴 4장의 동일한 카드를 받으며, 이번 턴에 그린 카드당 {GOLD} 비용이 1씩 증가합니다. 매 턴 4장의 카드만 받습니다",ターンごとに4枚の等価カードを入手し、このターンに引かれたカードごとに{GOLD}のコストが1増えます。ターンごとに4枚のカードしか取得できません,Cada turno obtienes 4 cartas iguales con su costo de {GOLD} aumentando por 1 por cada carta sacada este turno. Solo obtienes 4 cartas por turno,"Jede Runde erhältst du 4 gleichwertige Karten, deren {GOLD}-Kosten um 1 für jede in diesem Zug gezogene Karte steigen. Du erhältst nur 4 Karten pro Zug","Chaque tour, obtenez 4 cartes identique dont le coût en {GOLD} augmente de 1 pour chaque carte piochée ce tour. Vous n'obtenez que 4 cartes par tour","Co turę otrzymuj 4 identyczne karty, których koszt {GOLD} wzrasta o 1 za każdą dobraną kartę tej tury. Dostajesz tylko 4 karty na turę",Her turda 4 eşit kart alın ve bu turda çekilen her kart için {GOLD} maliyeti 1 artar. Tur başına sadece 4 kart alırsınız
KILLER_REWARD,Killer Reward,Recompensa de Matar,Premio del Sacrificio,杀手奖励,킬러 리워드,キラーリワード,Recompensa Asesina,Belohnung des Jägers,Récompense meurtrière,Nagroda Mordercy,Öldürücü Ödül
